主题ID,主题名称,主题简介
a89544b661092f54,送别,聚焦亲友离别场景，常以折柳、饮酒、长亭为意象，抒发不舍与牵挂，如王维《送元二使安西》，是古典诗词高频主题。
7885449f5bb55e5a,劝学,以箴言或事例劝人惜时向学，强调知识价值与奋斗意义，颜真卿《劝学》“黑发不知勤学早” 为经典范例。
2642c50598b64f71,边塞,描绘边疆风光、将士生活，或抒报国壮志，或叹战争残酷，如王昌龄 “黄沙百战穿金甲”，充满雄浑悲壮气
dd253919e93102cb,儿童,捕捉孩童嬉戏、劳作场景，如 “牧童骑黄牛”“忙趁东风放纸鸢”，尽显童真童趣，洋溢生活气息
3a864e53ae59535f,春天,咏春风、花草、燕舞等春景，或赞生机，或借春抒怀，如杜甫 “迟日江山丽”，传递春日鲜活感
860176ffdb1f64eb,夏天,写暑热、蝉鸣、荷塘、雷雨，如 “接天莲叶无穷碧”，既显盛夏繁盛，也藏纳凉闲趣。
7dd7fb711151f89f,秋天,以萧瑟秋景（落叶、残荷、雁南飞）衬情怀，或悲秋伤时，或咏秋之清寂，如马致远《天净沙・秋思》。
8f5324a6322edd50,冬天,绘冰雪、寒梅、冬雪，或写寒冬凛冽，或赞雪中景致，如 “忽如一夜春风来”，尽显冬之苍茫或生机
e53e87f5a38444c8,悲愤,抒发失意、愤懑之情，或因家国危难，或因个人遭遇，如屈原《离骚》，情感浓烈沉郁。5. 贾谊《过秦论》：总结秦亡教训，感慨自己生不逢时，有才难展，悲愤于社会现实与个人抱负的落差。
9d91dcbddb4116c9,悼亡,专为悼念逝者（多为亲人、挚友）而作，情感深切哀婉，元稹《遣悲怀》是悼亡诗代表作。
b8e588b4407849d3,咏怀,借景或叙事抒发个人情怀、人生感慨，内容宽泛，如曹操《短歌行》，兼具壮志与忧思。
e21633566e16f994,爱国,抒忧国忧民之情、报国之志，或赞山河，或斥外敌，如文天祥 “人生自古谁无死”，彰显民族气节。
48d7620301dd936a,思乡,以明月、归雁、乡音为媒，抒发对故乡、亲人的思念，李白 “举头望明月” 是经典表达。
2cc796fade5a8a80,咏物,聚焦某一事物（如草木、器物），描其特征并托情言志，如陆游《卜算子・咏梅》，物我相融。
262b4d91ff535957,爱情,写男女相思、爱恋、离别之苦，或含蓄或直白，如李商隐 “春蚕到死丝方尽”，情真意切。
7506f2e12dcf792d,田园,描绘乡村自然风光，展现田园宁静生活；表达对田园劳作的感悟与体验；抒发对田园闲适生活的向往之情；体现田园生活中的质朴人情；反映田园生活的恬淡与自在
bf9567ca4f4dae34,民歌,源于民间口头创作，语言质朴，反映百姓生活与情感，如《诗经・国风》中的《关雎》《伐檀》。
7b2dbab399a1c18b,民谣,风格通俗明快，多咏日常事、乡土情，传唱度高，兼具生活气息与地域特色，如《茉莉花》。
28691988bda3d5a7,山水,绘自然山水（峰、川、湖、林），寄情于景，或赞壮美，或抒隐逸之思，如李白 “飞流直下三千尺”。
8bd2c8e8a25a30a2,怀古,凭吊古迹（如赤壁、阿房宫），触景生情，感慨历史变迁，杜牧《赤壁》是典型之作。
8072b65c0dd66971,咏史,评论历史人物、事件，借古喻今或抒个人见解，如杜甫《蜀相》，赞诸葛亮亦抒壮志难酬。
0ceca6769883de9d,散文,虽非诗体，但常与诗并称 “诗文”，形散神不散，可抒情、议论、叙事，如朱自清《春》。
6f1be7e5f659d7fa,闺怨,写闺中女子的思念、愁苦（多为思夫、怨别），情感细腻幽怨，如王昌龄 “闺中少妇不知愁”。
e81bd3fab17a6e46,抒情,以直接或间接方式抒发情感（喜、怒、哀、乐），是诗文核心功能之一，涵盖多种主题。
6f6ae4e3c94cf050,赞美,歌颂人、事、物的美好特质，如赞英雄品格、自然之美，语言饱含敬意与喜爱。
79f13381414de280,咏柳,专门描绘柳树，或赞其姿态，或借柳抒情（柳谐 “留”，常涉送别），贺知章《咏柳》最知名。
a25661f0fb2a8205,读书,写读书的乐趣、益处或治学态度，如朱熹 “半亩方塘一鉴开”，喻读书启智。
212eb1acdf8cb0e6,秋思,聚焦秋日的思念之情，秋景与乡愁、相思交织，如张籍《秋思》“洛阳城里见秋风”。
f6851b3e6f9bdc6f,哲理,诗文中蕴含人生道理、自然规律，引人思考，如苏轼 “不识庐山真面目”，借景喻理。
ef15a49a5a1e26dd,离别,泛指各类离别情境与情感，比 “送别” 更宽泛，可写与亲友、故土的分离之苦。
4c4fb32e0312fc66,梅花,咏梅花傲雪凌霜的高洁品格，常托物言志，陆游、王安石的咏梅之作流传甚广。
0b8ceb772eaf2341,叙事,以诗文讲述事件，有情节、人物，如《木兰诗》，兼具故事性与文学性。
04d95f64df5cd772,写雪,描绘雪景（如飘雪、积雪），或赞雪之洁净，或借雪衬情，如柳宗元 “孤舟蓑笠翁”。
163943ed543f770e,写景,专注于描绘自然或人文景物，注重意境营造，是诗文常见表现手法，服务于抒情或议论。
3b373249de714a89,月亮,高频意象，常借月抒怀（思乡、相思、怀古），如苏轼 “但愿人长久，千里共婵娟”。
b0a8957a817aaf53,长诗,篇幅较长、内容容量大，可详细叙事（如《孔雀东南飞》）或铺陈抒情，结构更复杂。
b217d896a5afc051,励志,传递积极向上的精神，激励人奋进、抗挫折，如郑燮 “千磨万击还坚劲”，鼓舞人心。
ff647ad82a21f027,战争,写战争的残酷、将士的牺牲与思乡，或反思战争，如杜甫 “国破山河在”，饱含痛感。
9775c75353843cea,荷花,咏荷花 “出淤泥而不染” 的高洁，或赞其夏日风姿，周敦颐《爱莲说》（文）、杨万里诗句皆经典。
503c6f89efc994f3,题画,为画作题诗，或咏画中景，或抒观画之感，诗画相融，如苏轼《惠崇春江晚景》。
1788182b43fbc2f7,感恩,表达对他人恩情（如亲情、友情、师恩）的感激，情感真挚，传递温暖。
83d7b8a4ba9ca03c,动物,描绘动物的形态、习性，或借动物喻人、抒怀，如骆宾王《咏鹅》、杜甫 “两个黄鹂鸣翠柳”。
1f5fc58d9ccf1499,散曲,元曲的重要体裁，分小令、套数，语言通俗灵动，可抒情可叙事，如马致远《天净沙・秋思》。
5550e5066e9e2c6e,感怀,触景或触事生情，抒发人生感慨，内容多与时光、境遇相关，情感内敛深沉。
ab7426f536fd351c,饮酒,借饮酒场景抒怀，或表闲适，或释愁绪，如陶渊明《饮酒・其五》，酒为情感载体。
2cf1b457a3cf003d,落花,以落花为意象，或伤春惜时，或叹世事无常，如林黛玉《葬花吟》，情感凄婉。
e49b970837414b38,桃花,咏桃花的艳丽多姿，常衬春日繁盛，或关联爱情、隐逸，如崔护 “人面桃花相映红”。
6e1585d0e39c235e,写雨,绘不同雨景（春雨、夏雨、秋雨），或赞雨润万物，或借雨抒愁，如杜甫 “好雨知时节”。
7528a810921637d0,青春,写青春的美好、活力与易逝，或抒青春情怀，如李白 “朝如青丝暮成雪”，含惜时意。
96bce2510d6fca9b,写山,描绘山的雄奇、秀丽或险峻，或借山抒怀（如隐逸、壮志），如杜甫 “会当凌绝顶”。
2951f35d968cf791,论诗,评论诗歌创作、诗人或诗风，表达诗学观点，如赵翼 “江山代有才人出”，谈诗歌发展。
21564901b06c8afe,游仙,游仙诗主题常描绘仙人生活、仙境奇幻等。如郭璞之作展现对神仙境界向往；曹植诗借游仙表情志。旨在超脱尘世，追求精神自由与永恒。
1d82f450111f2375,节日,涵盖各类传统节日，写节日习俗与氛围，抒相关情感（如团圆、思念）。
d2339bb4edaadc4c,春节,写春节的喜庆场景（贴春联、放爆竹、团圆），传递辞旧迎新的喜悦，如王安石《元日》。
5e747e1f8923847d,元宵节,绘灯市、赏月、猜灯谜的热闹，或写团圆、相思，欧阳修 “去年元夜时” 是经典。
634f817ab2ea84ea,寒食节,关联禁火、吃冷食习俗，多缅怀先贤（如介子推），表达追思之情。
a32465bf20281bad,清明节,写扫墓祭祖的哀思与踏青的生机，悲喜交织，杜牧 “清明时节雨纷纷” 广为流传。
66a2608a9be416be,端午节,咏龙舟竞渡、吃粽子习俗，纪念屈原，抒发对爱国情怀的崇敬。
e7a11606eb589c88,七夕节,关联牛郎织女传说，写情侣相思与团圆期盼，如秦观 “两情若是久长时”。
e1642a46b80482eb,中秋节,聚焦中秋赏月、吃月饼的习俗，常借明月抒团圆期盼或思乡之情，如苏轼 “但愿人长久，千里共婵娟”，是承载亲情与乡愁的经典节日主题。
edb940e327bb5ed7,重阳节,围绕登高、插茱萸、赏菊的传统，多抒思乡念亲或敬老之情，王维 “遥知兄弟登高处” 精准勾勒节日情境，尽显秋日节日的厚重感。
f9972310190c1893,托物言志,诗文常用手法，借某一事物（如梅、竹、莲）寄寓作者志向、品格，物与志相融。
